id,account_name,address,city,province_state,postal_zip,country,latitude,longitude,naics,naics_description,sic_6,sic_6_description,website,census_tract,account_type,estimated_annual_revenue_of_business,n_employees
64339948,Bione Korean & Japanese Rstrnt,6300 Quinpool Rd,Halifax,NS,B3L1A5,Canada,44.644832,-63.598569,722511,Full-Service Restaurants,581208,RESTAURANTS,,2050012,PROSPECT,"$1,000 - $499,999",5 - 9 employees
64005861,Burgernator,269 Augusta Ave,Toronto,ON,M5T2M1,Canada,43.65563,-79.402123,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350038,CUSTOMER,"$1,000 - $499,999",1 - 4 employees
64034515,Skin + Bones,980 Queen St E,Toronto,ON,M4M1K1,Canada,43.661398,-79.339738,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350028.02,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
744916155,Starbucks,201 Lloyd Manor Rd,Etobicoke,ON,M9B6H6,Canada,43.67538,-79.55572,722515,Snack and Nonalcoholic Beverage Bars,581228,COFFEE SHOPS,,5350233,PROSPECT,"$500,000 - $999,999",10 - 19 employees
37933983,Sicilian Sidewalk Cafe,712 College St,Toronto,ON,M6G1C3,Canada,43.655415,-79.418623,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350056,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
56224678,Subway,531 Parliament St,Toronto,ON,M4X1P3,Canada,43.665663,-79.368253,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350068,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
439729446,Dolce Gelato Cafe,234 Augusta Ave,Toronto,ON,M5T2L7,Canada,43.6553,-79.402606,722514,"Cafeterias, Grill Buffets, and Buffets",581214,CAFES,,5350038,PROSPECT,"$1,000 - $499,999",1 - 4 employees
64033285,India 360,1 Markham Rd A1,Toronto,ON,M1R,Canada,43.73324,-79.21465,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350331.04,CUSTOMER,"$1,000 - $499,999",1 - 4 employees
62557251,Subway,751 Don Mills Rd,North York,ON,M3C1S3,Canada,43.714132,-79.335646,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350260.04,PROSPECT,"$1,000 - $499,999",5 - 9 employees
744825943,Freshii,1900-1 Queen St E,Toronto,ON,M5C2W6,Canada,43.65243,-79.379126,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350015,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
51546935,Pero Restaurant & Lounge,812 Bloor St W,Toronto,ON,M6G1L9,Canada,43.662802,-79.422734,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350094,PROSPECT,"$1,000 - $499,999",1 - 4 employees
16058109,Sicily Pizza,2438 St Clair Ave W,Toronto,ON,M6N1L2,Canada,43.669405,-79.482895,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350106,PROSPECT,"$1,000 - $499,999",1 - 4 employees
36017291,Exotic Indian Cuisine,1850 Albion Rd,Etobicoke,ON,M9W6J9,Canada,43.746505,-79.615416,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350249.03,CUSTOMER,"$1,000 - $499,999",1 - 4 employees
38893954,Sushi Shige Japanese Rstrnt,1532 Granville St,Halifax,NS,B3J1W8,Canada,44.64494,-63.572419,722511,Full-Service Restaurants,581208,RESTAURANTS,,2050008,PROSPECT,"$1,000 - $499,999",5 - 9 employees
